group,title,subtitle,type,status,link
Foundation,Forward the Foundation,,,,https://en.wikipedia.org/wiki/Forward_the_Foundation
Foundation,Prelude to Foundation,,,,https://en.wikipedia.org/wiki/Prelude_to_Foundation
,"Le corde vibranti, l'orecchio, la musica",,,,https://www.amazon.it/dp/B00N2OTG24/?coliid=I2XP5VZI7M52U4&colid=22QBHENP44UR0&psc=0&ref_=lv_ov_lig_dp_it
,"Surely You're Joking, Mr. Feynman!",,,Available Online,https://en.wikipedia.org/wiki/Surely_You%27re_Joking
,"Thinking, Fast and Slow",,,Available Online,https://en.wikipedia.org/wiki/Thinking
,23 Things They Don't Tell You About Capitalism,,,Available Online,https://en.wikipedia.org/wiki/23_Things_They_Don%27t_Tell_You_About_Capitalism
,Agile!,"The Good, the Hype and the Ugly",,Available Online,https://www.amazon.co.uk/Agile-Good-Hype-Bertrand-Meyer/dp/3319051547
,Algorithms to Live By,The Computer Science of Human Decisions,,Available Online,https://www.amazon.co.uk/Algorithms-Live-Computer-Science-Decisions/dp/1627790365
,Asimov's New Guide to Science,,,Available Online,https://www.amazon.co.uk/New-Guide-Science-Isaac-Asimov/dp/0670803472
,Astrophysics for People in a Hurry,,,Available Online,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391
,Berserk,,Manga,Readable Online,https://theberserkmanga.com/
,Black Metal Evolution Of The Cult,,,Available Online,https://en.wikipedia.org/wiki/Black_Metal:_Evolution_of_the_Cult
,Black Torch,,Manga,Readable Online,https://en.wikipedia.org/wiki/Black_Torch
,C'è Chimica in Casa,,,Available Online,https://www.amazon.it/scienza-della-casa-Ruggero-Rollini/dp/8804755326
,Carnage,Reigns,Manga,Readable Online,https://www.amazon.com/CARNAGE-REIGNS-Alex-Paknadel/dp/1302954229
,Category Theory Illustrated,,,Available Online,https://abuseofnotation.github.io/category-theory-illustrated/
,Cathedral of the Sea,,,,https://en.wikipedia.org/wiki/Cathedral_of_the_Sea
,Chaos,Making a New Science,,Available Online,https://en.wikipedia.org/wiki/Chaos:_Making_a_New_Science
,Claymore,,Manga,Readable Online,https://mangabuddy.com/claymore
,CommitStrip,Rise of the Coders,,,https://www.amazon.com/CommitStrip-Rise-Coders-Issartial/dp/2954706228
,Complete Learn to Play Guitar Chords Manual,,,,https://www.amazon.co.uk/Complete-Learn-Guitar-Chords-Manual/dp/1864693177
,Contact,,,Available Online,https://en.wikipedia.org/wiki/Contact_
,Diversa Mente,Le relazioni spiegate da chi ha più cervello che cuore,,,https://www.amazon.it/DiversaMente-relazioni-spiegate-cervello-cuore/dp/8830107735
,Dune,,,Available Online,https://en.wikipedia.org/wiki/Dune_
,Fahrenheit 451,,,Available Online,https://en.wikipedia.org/wiki/Fahrenheit_451
,Fantozzi,,,,https://it.wikipedia.org/wiki/Fantozzi_
,Fisica e Filosofia,,,,https://www.amazon.it/Fisica-filosofia-Werner-Heisenberg/dp/8842821594
,Flowers for Algernon,,,Available Online,https://en.wikipedia.org/wiki/Flowers_for_Algernon
,Functional Differential Geometry,,,,https://www.amazon.co.uk/Functional-Differential-Geometry-Gerald-Sussman/dp/026205289X
,Guitar for Dummies,,,Available Online,https://www.amazon.it/Guitar-Dummies-Mark-Phillips/dp/0764599046
,His Dark Materials,,,Available Online,https://en.wikipedia.org/wiki/His_Dark_Materials
,How to Listen to Jazz,,,Available Online,https://www.amazon.co.uk/How-Listen-Jazz-Ted-Gioia/dp/0465060897
,I Trentasei Stratagemmi,,,Available Online,https://www.amazon.com/stratagemmi-segreta-strategia-trionfare-quotidiana/dp/8880937006
,Ideas That Created the Future,,,Available Online,https://www.amazon.co.uk/Ideas-That-Created-Future-Computer/dp/0262045303
,Il Coccodrillo ha il Cuore Tenero,,,Available Online,https://www.amazon.it/Famiglie-bestiali-Willy-Guasti/dp/8817163538
,Il Coraggio di Non Piacere,Liberati dal giudizio degli altri e trova l’autentica felicità,,Available Online,https://www.amazon.it/coraggio-piacere-Liberati-giudizio-lautentica/dp/8851169918
,Il Metodo Sticazzi,,,Available Online,https://www.amazon.it/dp/886431024X
,Imparare la Tecnica del Suono,,,Available Online,https://www.amazon.co.uk/Imparare-tecnica-suono-Marco-Sacco/dp/1505563542
,Istruzioni per Rendersi Infelici,,,,https://www.amazon.it/Istruzioni-rendersi-infelici-Paul-Watzlawick/dp/8807814528
,L'Avvocato dell'Atomo,,,Available Online,https://www.amazon.co.uk/LAvvocato-dellAtomo-Italian-Luca-Romano-ebook/dp/B09X1VLTBV
,La Scienza della Carne,,,Available Online,https://www.amazon.co.uk/scienza-carne-chimica-bistecca-dellarrosto/dp/8858016025
,La Scienza della Pasticceria,,,Available Online,https://www.amazon.co.uk/Scienza-della-pasticceria-Dario-Bressanini/dp/8858012305
,La Scienza delle Pulizie,,,Available Online,https://www.amazon.it/scienza-pulizie-detersivo-candeggina-bicarbonato/dp/8858043030/
,La Scienza delle Verdure,,,Available Online,https://www.amazon.co.uk/SCIENZA-DELLE-VERDURE-BRESSANINI-D/dp/8858025199
,La Tua Bestemmia Quotidiana,,,,https://www.amazon.co.uk/Princess-Mononoke-First-Story/dp/1421575868
,La tempesta imperfetta,Viaggio nella mente di chi crede alle fake news: noi,,Available Online,https://www.amazon.it/dp/B0B2TTVNFX/
,Learn Physics with Functional Programming,A Hands-on Guide to Exploring Physics with Haskell,,,https://www.amazon.com/Learn-Physics-Functional-Programming-Hands/dp/1718501668
,Libertà vigilata,"Privacy, sicurezza e mercato nella rete",,,https://www.amazon.it/dp/B00A83G6ZC/?coliid=I1IVLGELZ7UQAP&colid=22QBHENP44UR0&psc=0&ref_=lv_ov_lig_dp_it
,Libro 2,,,,https://www.amazon.it/dp/B0B3MDGT1V/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1
,Libro,,,Available Online,https://www.amazon.co.uk/Libro-Italian-Maccio-Capatonda-ebook/dp/B08NDWD2J6
,Lolita,,,Available Online,https://en.wikipedia.org/wiki/Lolita
,Made in Abyss,,Manga,Readable Online,https://mangadex.org/title/80422e14-b9ad-4fda-970f-de370d5fa4e5/made-in-abyss
,Marvel Platinum,The Definitive Wolverine Reloaded,,,https://www.amazon.co.uk/Marvel-Platinum-Definitive-Wolverine-Reloaded/dp/1846535379
,Marvel Villains,Carnage,Manga,,https://www.amazon.com/Marvel-Villains-Carnage-David-Michelinie/dp/1804911496
,Mondo Black,,,,https://store.heavymusicartwork.com/collections/books/products/mondo-black
,Mondo Death,,,,https://store.heavymusicartwork.com/products/mondo-death
,Musimathics,Vol 1,,Available Online,https://www.amazon.co.uk/Musimathics-Mathematical-Foundations-Music-Press/dp/0262516551
,Musimathics,Vol 2,,Available Online,https://www.amazon.co.uk/Musimathics-Mathematical-Foundations-Music-2/dp/0262122855
,Oltre le occasioni perdute. Dal transistor allo smartphone. 60 anni di storia in presa diretta,,,,https://www.amazon.it/dp/8823851270/?coliid=IR418QZ13T9Y0&colid=22QBHENP44UR0&psc=1&ref_=lv_ov_lig_dp_it
,Our Mathematical Universe,My Quest for the Ultimate Nature of Reality,,Available Online,https://www.amazon.co.uk/Our-Mathematical-Universe-Ultimate-Reality/dp/0241954630
,Outliers,The story of success,,Available Online,https://www.amazon.it/dp/0141043024/?coliid=I2HGVZMJBML81R&colid=22QBHENP44UR0&psc=1&ref_=lv_ov_lig_dp_it
,Perché Cachiamo,,,Available Online,https://www.amazon.it/PERCH%C3%89-CACHIAMO-immersivo-meraviglioso-dellespulsione/dp/B09TWB1CN3
,Promised Neverland,from Volume 38,Manga,Readable Online,https://thepromisedneverland-manga.com/
,Quaderni dalla Terra Piatta,"Volume 2, una Immane Ondata",,,https://www.amazon.com.be/-/en/Albino-Galuppini/dp/0244216819
,Remembrance of Earth's Past Trilogy,,,Available Online,https://en.wikipedia.org/wiki/Remembrance_of_Earth%27s_Past
,Rick Beato Book,,,Available Online,https://rickbeato.com/products/the-beato-book-interactive?_pos=1&_sid=20fbc9b6e&_ss=r
,Scythe,,,Available Online,https://en.wikipedia.org/wiki/Scythe_
,Shit - Erik Kessels,,,Available Online,https://www.erikkessels.com/shit
,Snow Crash,,,Available Online,https://en.wikipedia.org/wiki/Snow_Crash
,Soul Reaver,The Dead Shall Rise,,,https://en.wikipedia.org/wiki/Legacy_of_Kain:_Soul_Reaver_%E2%80%93_The_Dead_Shall_Rise
,Spillover,Animal Infections and the Next Human Pandemic,,Available Online,https://www.amazon.com/Spillover-Animal-Infections-Human-Pandemic/dp/0393346617
,Starry Messenger,Cosmic Perspectives on Civilization,,Available Online,https://www.amazon.co.uk/Starry-Messenger-Cosmic-Perspectives-Civilisation/dp/0008543186
,Structure and Interpretation of Classical Mechanics,,,Available Online,https://mitp-content-server.mit.edu/books/content/sectbyfn/books_pres_0/9579/sicm_edition_2.zip/book.html
,Structure and Interpretation of Computer Programs,,,Available Online,https://en.wikipedia.org/wiki/Structure_and_Interpretation_of_Computer_Programs
,Studio Ghibli: Architecture in Animation,,,,https://www.amazon.co.uk/Studio-Ghibli-Architecture-Animation/dp/1974740862
,The Age of Intelligent Machines,,,Available Online,https://en.wikipedia.org/wiki/The_Age_of_Intelligent_Machines
,The Armour of Light,,,Available Online,https://www.amazon.it/Armour-Light-Ken-Follett/dp/1035027992
,The Beginning of Infinity,,,Available Online,https://en.wikipedia.org/wiki/The_Beginning_of_Infinity
,The Dark Tower,,,Available Online,https://en.wikipedia.org/wiki/The_Dark_Tower_
,The History of Jazz,,,Available Online,https://www.amazon.co.uk/History-Jazz-Ted-Gioia/dp/0195399706
,The Idiot Brain,A Neuroscientist Explains What Your Head is Really,,Available Onilne,https://www.amazon.co.uk/Idiot-Brain-Neuroscientist-Explains-Really/dp/1783350814
,The Influential Mind,What the Brain Reveals About Our Power to Change Others,,Available Online,https://www.amazon.co.uk/Influential-Mind-Reveals-Change-Others/dp/1408706067
,The Jazz Theory Book,,,Available Online,https://www.amazon.co.uk/Jazz-Theory-Book-Mark-Levine/dp/1883217040
,The Nature of Code,,,Available Online,https://natureofcode.com/
,The Psychology of Money,"Timeless lessons on wealth, greed, a,nd happiness",,Available Online,https://www.amazon.com/Psychology-Money-Timeless-lessons-happiness/dp/0857197681
,The Vampire Chronicles,,,Available Online,https://en.wikipedia.org/wiki/The_Vampire_Chronicles
,The Witcher,,,Available Online,https://en.wikipedia.org/wiki/The_Witcher
,The World Beyond Your Head,How to Flourish in an Age of Distraction,,Available Online,https://smile.amazon.co.uk/dp/0670921394/ref=cm_sw_r_cp_apa_i_b8P7EbV4ZEJ14
,There's a War Going On But No One Can See It,A brilliant page-turner,,Available Online,https://www.amazon.it/Theres-War-Going-But-One/dp/152662933X
,Unwritten Laws of Engineering,,,Available Online,https://www.amazon.it/dp/0791801624/?coliid=I25BGOMWA9LRH4&colid=22QBHENP44UR0&psc=0&ref_=lv_ov_lig_dp_it
,What If? 2,Additional Serious Scientific Answers to Absurd Hypothetical Questions,,,https://www.amazon.co.uk/What-Additional-Scientific-Hypothetical-Questions/dp/147368062X
,What We Owe The Future,A Million-Year View,,Available Online,https://www.amazon.co.uk/What-We-Owe-Future-Million-Year/dp/0861542509/ref=sr_1_1?keywords=what+we+owe+the+future
,Zen Guitar,,,Available Online,https://www.amazon.it/dp/068483877X/?coliid=I2WOXTJ78H39UD&colid=22QBHENP44UR0&psc=1&ref_=lv_ov_lig_dp_it
